no,username,nickname,komentar,likes,create_time,sentiment_label,label_notes,confidence,needs_review
23,danda1306,@danda1306,salah buu... harusnya gerbong depan dan belakang kosongin jadi mengurangi kemungkinan byk korban jika terjadi kecelakaan serupa,366,1777380047,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
24,menikmati77,pria_tanpa_kata,kami para laki laki walaupun ulang tahun jarang di rayakan juga kepengen panjang umur Bu 😭,323,1777439796,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
25,sixbasss,bass,"gerbongnya udah bener, persinyalan kai itu diperbaiki sepertinya udah usang",2361,1777354448,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
26,kaitodeluxe73,KaitoDeluxe,Sepakat.,732,1777358200,Positif,"Dukungan, persetujuan, atau afirmasi literal",0.76,Tidak
27,bgssaaaja_26,⃟,[Sticker] disuruh nyari solusi malah ganti formasi,588,1777417183,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
28,chai_ran,Chai Ran,Gerbong paling depan dan belakang khusus bowtie titik!!!,189,1777416708,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
29,tuanmudalrs,Tuan Muda LRS,"pemindahan posisi gerbong hanya sekedar penukaran posisi. dari insiden ini kecelakaan bukan terjadi di titik tabrakan (gerbong) tapi kecelakaan ini terjadi saat sistem gagal melindungi jalur. Maka dengan menggunakan metode Zerro Collision perbaikan akan fokus pada :
1. interlocking
2. Signaling
3. Automatic train protection
4. Fail-Safe System Design
sehingga dapat meminimalisir kejadian serupa.",213,1777364401,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
30,fauzanzafra,Zafran,"NGOMONG YANG PENTING❌❌❌
YANG PENTING NGOMONG✅✅✅",577,1777359616,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
31,orangbiasaa.ok,akuran,kami laki2 juga mau hidup bu,65,1777394967,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
32,imeyrebels_,•IR✔️,biar bs nahan kaya bgini bun mksdnya??,261,1777388715,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
33,bjornelvasilly,BjornElvasilly,"Kok gerbong nya, sistem nya bu di rapihin, itu signal nya benerin ,modernisasi lagi",994,1777357564,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
34,tonirinjani,Toni Aji Rinjani M,"kalo kecelakaan lagi dan gerbong d tengah yang kena dampak lagi, mau d pindahin ke mana lagi ya?",172,1777356566,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
35,endofjune__,End,"bu, klo saya bisa bantu yaa, mendingan begini bu ngomongnya, pertama pasti ibu bela sungkawa dulu, trus jawab aja semua hal yg terjadi akan di kaji ulang, bagaimana sebaiknya nanti kita akan lihat dari beberapa sudut pandang, dan dari ahlinya, semoga kedepannya kejadian seperti ini tidak terulang, begitu aja bu cukup",245,1777362583,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
36,azeir_qw,azeir,menteri pemberdayaan pria dan perlindungan anak,571,1777357855,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
37,ipaldim,sweetipall,LAH BERARTI GUA KEGENCET DONG NANTI KALO DI TARO UJUNG😭😩,154,1777358726,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
38,mztkzzz26,🐲,"maaf ibu...
Jika gerbong Tengah Di timpa Pohon Besar usulan ibu kira kira pindah kemana lagi. saya Bertanya dengan sopan. terimakasih",52,1777429589,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
39,yenimarini95,Yeni Marini | Simple Skincare,"bu maaf, kalo hemat saya ini bukan solusi. saya sebagai perempuan jg tidak setuju. krn semua nyawa itu berharga🙏 perbaiki saja sistem keamanan nya",219,1777372030,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
40,petakunpad,kaye,kok pemikirannya CERDAS,99,1777367232,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
41,aejafrans,Vickeyyy,berarti itu maksudnya?,59,1777354343,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
42,cahyoindro5,kopipanembahan,"ini mentri apa ya .
...",12,1777364146,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
43,massdamms,MassDamms,tenang bu,41,1777419085,Netral,Tidak ada opini jelas/komentar hanya sticker atau observasi,0.85,Tidak
44,indi.rynz,indirynz,"bukan masalah penempatannya... memang sudah tepat beradi diujung, nanti sulit mengaturnya kl ditengah... ini yg dikaji ke KAI-nya kenapa sinyalnya g berfungsi dg baik....",447,1777355561,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
45,only8153,𝐎𝐌 𝐒𝐀𝐌𝐈𝐊𝐇𝐄𝐔,[Sticker] WALAUPUN KAMI JARANG MERAYAKAN ULANG TAHUN TAPI KAMI JUGA INGIN UMUR PANJANG,70,1777423064,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
46,takashimura94,TAKASHIMURA,"makasih bu sarannya, besok saya di atas aja",106,1777422832,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
47,alf.haikal,user7545627657202,"ampunnn wkwwk lucu ini anjirrrrrr tapi gpp bu, mau gimana lagi 😭🤣",200,1777354380,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
48,alexvan.afrilio,Alexvan Afrilio,"kami jg ingin pnjang umur bu,,,, wlopun ultah kami jarang di rayain",40,1777421478,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
49,om_boedhy,Om_Budhy,Anggota DPR di gerbong belakang dan depan saya lebih setuju,113,1777380221,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
50,safatahpurwonoto,SAFATAH PURWONOTO,"saran saya gerbong paling depan dan paling belakang di tiadakan
namun langsung gerbong tengah aja kalo bisa",13,1777397835,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
51,mahasvin_farm,Mahasvin Farm,bothi taro mana bu?,13,1777399949,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
52,sapa_ahh,sapa ah,gerbong depan dan belakang di isi bubble wrap,78,1777441709,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
53,xilauxiiu,omgy,gini kali ya maksudnya ibu menteri😭😭😭😭😭,38,1777388897,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
54,duannnn_123,￴ ￴ ￴ ￴ ￴ ￴￴ ￴ ￴ ￴ ￴￴ ￴ ￴ ￴￴ ￴,bukannya kasih solusi malah ganti formasi,31,1777429889,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
55,hjknbvy2,Caaa,Gerbong pertama sama terakhir di isi buble warp aja lah biar aman,64,1777388768,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
56,hfdhz_e,muhammadhafidhzid,Cowo juga manusia bu,38,1777385524,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
57,traxalaza,"TO,INK",seorang menteri jawabannya kaya adik gua yang masih SD,23,1777445578,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
58,exp_120328,DOKTER ODGJ,"ngomong yang penting ❌
yang penting ngomong ✅",26,1777448329,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
59,nzar_preset,𝐙𝐚𝐑 Prst,"gua mikir, kenapa kereta gk dibikin ada gerbong pengaman aja. mksdnya tuh buat gerbong paling belakang dan depan itu dijadiin gerbong kosong yang didesain aman ketika ada benturan, jadi bs buat penyangga/bantalan semisal ada tabrakan",17,1777415165,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
60,firatamia,VIRA,Bu saya juga nungguin suami saya pulang Bu 🤣🤣,21,1777399683,Negatif,Humor/sarkasme yang cenderung mengkritik isi pernyataan,0.68,Ya
61,rickysugiarto,Ricky Sugiarto,"Seharusnya setelah lokomotif (kepala KRL) ditambahkan gerbong tambahan yang dikosongkan sebagai zona penyangga, serta pada bagian belakang rangkaian juga ditambahkan gerbong kargo yang dibiarkan kosong, guna meminimalkan risiko dan mencegah jatuhnya korban jiwa di masa mendatang.",41,1777381060,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
62,fathur_empatt_bellas,Fathur 14,Walaupun kami jarang merayakan ulang tahun tapi kami juga pengen panjang umur buu🙏,14,1777436346,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
63,malfian_gurinda01,Om_Kumis🥸,"[Sticker] 🗿Bahkan di dunia yang singkat ini, kami mau di persingkat lagi oleh aturan.",24,1777436574,Negatif,Humor/sarkasme yang cenderung mengkritik isi pernyataan,0.68,Ya
64,zahronionroy10,Onroy,"gerbong depan dan belakang khusus, JHONSON. GROCK. TRIGEAL. BELERICK. KUFRA. MINOTAUR.",15,1777377930,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
65,mass_zorr,ZORDHI507,"Inget misi pak Ignasius Jonan, hilangkan perlintasan sebidang pada lintas KRL, mengingat aktifitas KRL yg semakin padat dan meningkat, di ganti dengan underpass atau fly over",73,1777361407,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
66,kfcpest,lisinzix,KOK PINTERRR,11,1777379281,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
67,sukadunhillhitam,anakmamah,ini reporter kasih pertanyaan plenger ditambah jawaban mentri makin plenger,149,1777379908,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
68,fritzdnr,denial_,dikira mobile legend kali bisa gonta ganti item,47,1777388450,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
69,reviansyahniz,ReviansyahNiz,Sepakat,17,1777360968,Positif,"Dukungan, persetujuan, atau afirmasi literal",0.76,Tidak
70,herman.purba23,Herman Purba,kami laki juga manusia bu ngga cuma ibu doang manusia 😌,13,1777383776,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
71,_kamalkemal,𝙉𝙄𝙉𝙅𝘼 𝙎𝘼𝙄𝙏𝘼𝙈𝘼,"udah bagus2 tidur , malah di wawancarain 🗿",18,1777392388,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
72,me_zea87,Rayna zea Pratomo,saya usul KAI yg di depan blakang itu khusus mentri dan pejabat aja,9,1777385973,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
73,abaangbuncitt,PLAY BOY✅,"gimna klu gerbong depan dan belakang khusus keluarga ibu aja,...",12,1777602719,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
74,alifaindri67,alifff,"Bu mohon maaf kalau semisal bilang gini gaakan susah kan ya bu? ""Untuk evaluasi penempatan gerbong sih tidak, karena memang ada beberapa faktor mengapa gerbong wanita berada di ujung depan dan belakang. Salah satunya untuk mencegah yg namanya harrasment, selain karena gerbong khusus wanita tapi juga gerbong ujung itu dekat dengan penjaga jadi dapat memberikan rasa aman. Dan untuk peristiwa ini akan kita kaji ulang, bagaimana sebaiknya nanti kita akan lihat dari beberapa sudut pandang dan dari para ahlinya. Namun, kita akan berupaya untuk meningkatkan lagi sistem keamanan transportasi publik tidak hanya kereta api melainkan semua transportasi publik lainnya. Dan himbauan kepada seluruh masyarakat Indonesia untuk dapat memahami dan mentaati rambu saat berkendara demi keselamatan bersama. Semoga kedepannya kejadian seperti ini tidak terulang kembali."" Sepertinya seperti ini cukup lumayan baik untuk menjawab pertanyaan tersebut daripada usulan perpindahan gerbong tersebut 🙏🏻",7,1777461165,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
75,agoessantt,Agoessant,yg gerbong belakang itu khusus tank aja bu...,15,1777385195,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
76,user223595368,───  Lihat 1.643 balasan,Sedikit Saran aja bu,81,1777420009,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
77,notfont6,ES TEH MANIS💤,"meski kami jarang merayakan ulang tahun, kami juga ingin panjang umur🙂",13,1777437066,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
78,_cillazio0926,Makaneat,Hrusnya ada bbrpa gerbong yg diperkuat bukan isinya di tuker . Jdi paling belakang itu yg bener2 materialnya yg kuat banget,7,1777374258,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
79,pray.kha77,sssss💨,ini mah bukan mengurangi korban tapi mengganti korban,13,1777396268,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
80,mailandes_zaika,Mailandes Zaika,"Yang lebih masuk akal dan terbukti efektif biasanya:
* Perbaikan sistem sinyal & kontrol (ini yang kamu soroti—dan ini memang krusial)
* Sistem pengaman otomatis (misalnya kereta berhenti sendiri kalau ada error)
* Perawatan rel dan armada yang konsisten
* Prosedur keselamatan & pelatihan petugas
* Desain gerbong yang lebih tahan benturan coba Ibu jwb kyk gini",22,1777367097,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
81,kawsatujuli,w175,"kenapa berpikirnya gitu ya, ga kepikiran buat bikin safety, misal crumple zone atau crash energy management, supaya gerbong penumpang lebih safety",8,1777369456,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
82,nofi_toped,nofi_toped,dikasih buffer gerbong kosong/cadangan aja 1 atau 2 belakang dan depan,17,1777363646,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
83,sinta.shiken,shiken,kt gw mah ga ad msalah mau paling dpn apa belakang ya nmnya musibah mau ditaro dimana jg klo udh kehendak ga bs dirubah...,31,1777358675,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
84,ig.mickielll,￴ ￴,di pikir spiderman kali ya bisa nahan kereta,61,1777374583,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
85,rumahsehatalfadillah,Rumah Sehat Al Fadillah,Pemikiran sekelas mentri nih bosss,33,1777379928,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
86,bogygdowhe5,Dewi Arthemis,bukan sinyal yg diperbaiki tapi kembalikan ke standar keselamatan kereta. yaitu jarak kereta satu ke lainnya itu minimal 30 menit. pershitan dgn penumpukan penumpang itu sudah standar keselatan yg diabaikan KAI akibat pemenuhan kebutuhan.. 😱😱😱,7,1777361733,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
87,bettycathouse.id,Betty Cat House,gini kan bu maksud nya🗿,38,1777387407,Negatif,Humor/sarkasme yang cenderung mengkritik isi pernyataan,0.68,Ya
88,apriliana10,🦢,Ga gitu juga ga si konsepnya😭,35,1777383190,Negatif,Humor/sarkasme yang cenderung mengkritik isi pernyataan,0.68,Ya
89,cjoyx3,bebekpeking,gue juga kalo baru bangun tidur ditanyain agak ngelantur juga sih😌,20,1777379429,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
90,byfarizi_,Adjie,Ngomong Yang Penting ❌ Yang Penting Ngomong ✅,36,1777382517,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
91,baribarubara,aruma,mindahin gerbong gak menyelesaikan masa bu,10,1777357922,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
92,seref_22,𝙍𝙖𝙛𝒊,walaupun kami jarang dirayakan ulang tahun tapi kami mau panjang umur juga bu🥲,16,1777441090,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
93,inimhcumarasa,Sexisa B,"malah lebih aneh kalo di tengah, mobilitas didalam gerbong malah ke ganggu",16,1777356417,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
94,asephendro,Asep Hendro737,yang jadi masalah bukan gerbong sih..lebih ke jalur dan palang pintu kereta kan? solusi paling tepat bangun under pas dan jembatan di jalur perkotaan ramai kendaraan,12,1777384920,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
95,nona_andin,Ms. Andin,"Bukan soal posisi gerbong, Arifah.
Tp perawatan fasilitas KAI (sinyal, rel, palang pintu, dll.) dan tindak tegas pelanggar lalu lintas di area perlintasan kereta api.",31,1777359439,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
96,irfanrizmawan,irfan,"mau di depan di tengah di belakang, kalo udah waktu kecelakaan ya sama aja Bu. yg harus di benahi bagaimana penanganan secepat mungkin saat ada trouble baik di lajur, komunikasi antar petugas yg berjaga, sistem yg mungkin harus di ubah jga agar kejadian serupa tidak terulang, setidaknya anda sudah melakukan segala usaha untuk pencegahan, untuk hasilnya serahkan kepada yg maha kuasa",4,1777379070,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
97,joshua_banjarnahor,banjarnahor,"Memindahkan posisi gerbong adalah solusi ""kosmetik"" yang tidak menyelesaikan akar masalah keselamatan transportasi. Keselamatan adalah hak dasar seluruh penumpang. Solusi terbaik adalah modernisasi sistem persinyalan dan pengadaan sarana yang tahan benturan, sehingga di mana pun penumpang duduk (depan, tengah, atau belakang), mereka tetap terlindungi secara maksimal",16,1777379103,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
98,oppa.70,Malik,gerbong belakang buat menteri PPPA,5,1777620041,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
99,apelov0,nabilaaa,stresss.,12,1777384228,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
100,weka.tor,Weka Tor,[Sticker] kali ini tidak sepakat,7,1777388853,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
101,lliasbggrg,💪🏻💪🏻,bu kenya jawaban gpt pro gw lebih pinter deh dibandingkan solusi yg ga solutif ini,11,1777384503,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
102,uusernotactivee,.,solusi yg tidak menjawab. Ini kagak mikir apa gmna siii …,10,1777384834,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
103,drakkxen,NAN,asbun banget jir jawabannya bukannya ngasih solusi😭,43,1777383931,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
104,cantyanaraditya,MALEN,"Solusi ❌
Rotasi ✅",18,1777463690,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
105,ate.fitt,𝘿𝙖𝙡𝙚𝙢 𝙎𝙖𝙮𝙖𝙣𝙜,kasih buble wrap bu depan belakang biar aman😭😭,16,1777427902,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
106,triclara6,Triclara,Nyari solusi bu harus nya bukan malah ganti pemain 🥲,14,1777421814,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
107,wheniseeiloveu,rabrobbb,[Sticker] walaupun kami jarang merayakan ulang tahun tapi kami juga pengen panjang umur buu🙏,14,1777419535,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
108,gf.indonesia,𝙂𝘼𝙍𝙐𝘿𝘼 𝙁𝙊𝙊𝙏𝘽𝘼𝙇𝙇,ngomong apa sih😭😭,17,1777358495,Negatif,Humor/sarkasme yang cenderung mengkritik isi pernyataan,0.68,Ya
109,hagiiprygo_,hgy,"[Sticker] ini solusi dari saya bu, gimana kalo rute kereta api diubah aja kearah rumah ibu",11,1777467417,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
110,anggazelll,Hiramekarei,walaupun kami jarang merayakan ulang tahun tapi kami juga pengen panjang umur buu🙏,11,1777426415,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
111,.user_name456,Username,minimal kalau belum ada solusi bilang aja kita fokus pemulihan dulu ya. khususnya untuk para korban.,11,1777418280,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
112,daimanw1,daimanw,siapp bu,10,1777415265,Netral,Tidak ada opini jelas/komentar hanya sticker atau observasi,0.85,Tidak
